date,open,high,low,close,adj_close,volume,source
2000-09-26,35.625,35.75,35.25,35.3125,21.800825119018555,49400,yahoo
2000-09-27,35.375,35.375,34.25,34.75,21.453571319580078,32600,yahoo
2000-09-28,34.6875,34.6875,33.25,33.5625,20.720441818237305,82000,yahoo
2000-09-29,33.625,34.75,32.0,32.0,19.75579833984375,72800,yahoo
2000-10-02,32.25,33.0,31.875,33.0,20.373165130615234,121600,yahoo
2000-10-03,33.375,36.0,33.375,35.0,21.60791015625,105500,yahoo
2000-10-04,35.0,35.25,34.0625,35.125,21.68507194519043,99000,yahoo
2000-10-05,35.125,36.8125,35.125,36.8125,22.72688865661621,40800,yahoo
2000-10-06,36.8125,38.625,36.75,37.0,22.842647552490234,130100,yahoo
2000-10-09,37.25,37.5,37.0,37.375,23.074153900146484,77500,yahoo
2000-10-10,37.5,38.0,37.5,37.75,23.30567741394043,69600,yahoo
2000-10-11,37.625,37.625,36.0,36.0625,22.26385498046875,32600,yahoo
2000-10-12,36.0625,36.25,35.75,35.875,22.14811134338379,37900,yahoo
2000-10-13,36.125,38.625,36.0,38.625,23.84586524963379,70500,yahoo
2000-10-16,38.75,40.0,38.75,39.875,24.617570877075195,72700,yahoo
2000-10-17,39.875,40.0,38.5,38.75,23.92304801940918,112000,yahoo
2000-10-18,38.0,42.0,38.0,41.625,25.697980880737305,228500,yahoo
2000-10-19,42.0,42.5,40.125,40.75,25.15778160095215,125300,yahoo
2000-10-20,40.75,42.625,40.75,42.0625,25.96806526184082,59200,yahoo
2000-10-23,42.0625,42.0625,40.3125,41.375,25.543651580810547,96200,yahoo
2000-10-24,41.25,41.25,38.625,39.5,24.386064529418945,122100,yahoo
2000-10-25,39.375,40.5,39.375,40.5,25.003427505493164,44600,yahoo
2000-10-26,40.375,41.0,40.375,40.8125,25.196369171142578,46800,yahoo
2000-10-27,41.0,43.0,41.0,42.4375,26.199594497680664,124300,yahoo
2000-10-30,42.5,43.0,41.5625,42.5,26.238168716430664,114300,yahoo
2000-10-31,42.625,43.0,42.375,42.625,26.315330505371094,85200,yahoo
2000-11-01,42.375,42.625,41.5,42.375,26.16099739074707,94000,yahoo
2000-11-02,42.25,44.875,42.0,44.25,27.318565368652344,58400,yahoo
