date,open,high,low,close,volume,adj_close,source
2024-04-15,770.79,778.22,756.31,762.99,935305,762.99,alpha_vantage
2024-04-12,785.56,803.0,762.06,763.4,1453625,763.4,alpha_vantage
2024-04-11,785.5,789.32,778.8,785.96,812037,785.96,alpha_vantage
2024-04-10,793.79,795.125,780.92,783.65,654397,783.65,alpha_vantage
2024-04-09,806.23,806.23,794.18,803.9,798438,803.9,alpha_vantage
2024-04-08,801.52,807.5399,796.8315,803.32,756898,803.32,alpha_vantage
2024-04-05,793.63,804.2699,790.12,797.56,685042,797.56,alpha_vantage
2024-04-04,822.38,826.52,790.18,792.09,1187846,792.09,alpha_vantage
2024-04-03,815.45,826.08,813.56,814.8,365029,814.8,alpha_vantage
2024-04-02,825.5,825.91,810.0,816.59,497087,816.59,alpha_vantage
2024-04-01,834.98,835.12,825.24,826.77,393125,826.77,alpha_vantage
2024-03-28,836.22,838.68,831.02,833.7,532198,833.7,alpha_vantage
2024-03-27,826.8,835.51,822.49,835.12,466671,835.12,alpha_vantage
2024-03-26,819.47,823.8763,817.93,820.2,374110,820.2,alpha_vantage
2024-03-25,820.44,826.99,815.17,816.21,378197,816.21,alpha_vantage
2024-03-22,840.82,842.315,822.46,824.83,615249,824.83,alpha_vantage
2024-03-21,823.53,844.64,822.22,842.06,643470,842.06,alpha_vantage
2024-03-20,804.11,819.24,800.685,817.89,451403,817.89,alpha_vantage
2024-03-19,796.31,803.87,792.82,802.3,593932,802.3,alpha_vantage
2024-03-18,806.2,806.27,793.83,800.25,634805,800.25,alpha_vantage
2024-03-15,801.59,813.7975,798.34,802.52,1576934,802.52,alpha_vantage
2024-03-14,825.0,825.29,800.62,808.8,851636,808.8,alpha_vantage
2024-03-13,829.17,831.615,823.21,825.99,489632,825.99,alpha_vantage
2024-03-12,830.12,834.27,822.25,829.59,422169,829.59,alpha_vantage
2024-03-11,835.65,836.07,822.27,825.16,407430,825.16,alpha_vantage
2024-03-08,835.85,845.0,833.7201,836.12,396217,836.12,alpha_vantage
2024-03-07,837.99,839.22,829.63,831.7,384701,831.7,alpha_vantage
2024-03-06,825.85,832.39,820.44,830.4,538055,830.4,alpha_vantage
2024-03-05,832.29,839.8,823.37,826.94,497598,826.94,alpha_vantage
2024-03-04,815.97,841.955,815.97,834.47,858869,834.47,alpha_vantage
2024-03-01,811.34,815.35,805.214,814.83,431336,814.83,alpha_vantage
2024-02-29,813.4,814.96,807.39,811.34,758799,811.34,alpha_vantage
2024-02-28,798.78,813.12,797.32,809.66,513080,809.66,alpha_vantage
2024-02-27,807.33,809.87,795.27,800.54,555973,800.54,alpha_vantage
2024-02-26,810.95,814.8245,803.35,806.03,577808,806.03,alpha_vantage
2024-02-23,817.06,823.71,812.0,813.59,492606,813.59,alpha_vantage
2024-02-22,811.04,816.33,808.08,813.44,549649,813.44,alpha_vantage
2024-02-21,798.81,806.0599,795.42,805.45,419372,805.45,alpha_vantage
2024-02-20,789.28,801.53,787.57,798.11,582338,798.11,alpha_vantage
2024-02-16,795.09,798.0,791.13,794.0,393776,794.0,alpha_vantage
2024-02-15,788.4,802.48,788.4,798.05,508239,798.05,alpha_vantage
2024-02-14,785.1,788.28,779.16,785.4,420967,785.4,alpha_vantage
2024-02-13,785.25,791.225,770.0,778.07,637435,778.07,alpha_vantage
2024-02-12,798.33,808.49,797.64,801.76,499402,801.76,alpha_vantage
2024-02-09,794.23,800.805,791.77,797.21,536637,797.21,alpha_vantage
2024-02-08,794.06,798.9399,787.5,793.2,545532,793.2,alpha_vantage
2024-02-07,790.0,799.445,786.53,794.7,700684,794.7,alpha_vantage
2024-02-06,784.93,788.0,778.76,787.98,666342,787.98,alpha_vantage
2024-02-05,782.21,787.24,777.15,783.17,501130,783.17,alpha_vantage
2024-02-02,780.65,792.34,777.2608,788.0,509886,788.0,alpha_vantage
2024-02-01,776.49,785.55,765.63,784.93,626656,784.93,alpha_vantage
2024-01-31,779.47,785.4077,772.35,774.31,730828,774.31,alpha_vantage
2024-01-30,782.98,784.82,779.065,781.73,936712,781.73,alpha_vantage
2024-01-29,787.31,792.4827,781.14,788.7,622286,788.7,alpha_vantage
2024-01-26,791.33,793.28,785.485,787.3,687911,787.3,alpha_vantage
2024-01-25,790.92,794.9,787.49,790.46,723803,790.46,alpha_vantage
2024-01-24,797.86,797.86,785.19,785.75,621393,785.75,alpha_vantage
2024-01-23,793.27,795.5899,788.48,792.56,718291,792.56,alpha_vantage
2024-01-22,806.405,807.3,793.51,794.02,760478,794.02,alpha_vantage
2024-01-19,797.75,808.825,794.045,805.44,681544,805.44,alpha_vantage
2024-01-18,794.56,795.99,785.0646,795.26,506794,795.26,alpha_vantage
2024-01-17,774.37,787.93,768.3469,787.43,617255,787.43,alpha_vantage
2024-01-16,803.79,808.99,788.66,791.38,895285,791.38,alpha_vantage
2024-01-12,785.0,802.34,782.76,799.6,880587,799.6,alpha_vantage
2024-01-11,796.96,799.98,787.08,792.61,736037,792.61,alpha_vantage
2024-01-10,794.89,799.05,787.87,792.36,511033,792.36,alpha_vantage
2024-01-09,792.65,795.1356,787.135,794.52,454753,794.52,alpha_vantage
2024-01-08,784.43,798.01,782.91,797.19,513311,797.19,alpha_vantage
2024-01-05,782.81,788.76,781.46,782.83,470883,782.83,alpha_vantage
2024-01-04,783.26,792.485,782.73,785.95,580186,785.95,alpha_vantage
2024-01-03,792.41,792.41,782.327,784.15,638734,784.15,alpha_vantage
2024-01-02,804.15,808.14,795.425,800.3,660044,800.3,alpha_vantage
2023-12-29,812.6,816.17,808.6375,811.8,318557,811.8,alpha_vantage
2023-12-28,809.88,817.62,809.88,814.41,311470,814.41,alpha_vantage
2023-12-27,809.17,813.25,808.63,813.25,297095,813.25,alpha_vantage
2023-12-26,803.44,809.1,803.44,806.61,280569,806.61,alpha_vantage
2023-12-22,801.98,807.515,800.15,802.42,426577,802.42,alpha_vantage
2023-12-21,795.0,799.365,791.66,799.1,341139,799.1,alpha_vantage
2023-12-20,797.76,805.41,788.84,789.23,547939,789.23,alpha_vantage
2023-12-19,801.07,814.415,798.95,801.38,756267,801.38,alpha_vantage
2023-12-18,812.0,815.0,795.795,796.44,916400,796.44,alpha_vantage
2023-12-15,791.9,819.0,789.47,819.0,2702962,819.0,alpha_vantage
2023-12-14,782.93,807.6,781.94,807.13,1197486,807.13,alpha_vantage
2023-12-13,759.0,777.1899,754.81,773.43,600130,773.43,alpha_vantage
2023-12-12,755.0,759.44,752.67,759.29,607732,759.29,alpha_vantage
2023-12-11,745.8,755.225,744.3225,752.41,781291,752.41,alpha_vantage
2023-12-08,743.15,747.79,742.2232,744.73,456111,744.73,alpha_vantage
2023-12-07,745.44,749.89,742.6038,745.44,784364,745.44,alpha_vantage
2023-12-06,754.52,756.59,742.46,743.07,623768,743.07,alpha_vantage
2023-12-05,755.62,755.62,748.1775,754.3,860677,754.3,alpha_vantage
2023-12-04,751.84,757.915,749.5,756.43,767881,756.43,alpha_vantage
2023-12-01,750.0,761.38,748.66,756.35,746714,756.35,alpha_vantage
2023-11-30,748.16,751.89,744.69,751.23,961321,751.23,alpha_vantage
2023-11-29,742.28,751.27,742.28,747.3,750055,747.3,alpha_vantage
2023-11-28,725.86,738.83,725.86,736.76,610257,736.76,alpha_vantage
2023-11-27,727.2,732.05,724.54,730.68,868110,730.68,alpha_vantage
2023-11-24,726.72,730.74,726.64,730.1,279619,730.1,alpha_vantage
2023-11-22,727.0,730.28,725.975,727.14,498141,727.14,alpha_vantage
2023-11-21,719.8,726.6,718.725,724.64,642960,724.64,alpha_vantage
2023-11-20,714.39,721.66,712.11,720.92,668329,720.92,alpha_vantage
